level,code,exerciseName,orderNumber,words
1,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(дочь мама бабушка);(танцует вышивает вяжет);();())
2,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(Мария мама Фёдор);(смеётся учится вяжет);();())
3,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(Витя Аркадий папа);(работает думает слушает);();())
4,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(Максим Саша Эрик);(сидит считает болтает);();())
5,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(Аля Вероника Мила);(читает пишет веселится);();())
6,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(Марк Макар Тимофей);(пишет дерётся сражается);();())
7,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(Жанна Катя Зина);(лепит летает катается);();())
8,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(Милана Арина Соня);(греется занимается крадётся);();())
9,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(дочка мамочка тётя);(поёт играет готовит);();())
10,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(сын папа дедушка);(поёт строит тренируется);();())
11,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(брат сестра дядя);(скучает бормочет волнуется);();())
12,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(дочь сосед воспитатель);(стирает моет бегает);();())
13,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(дом папа самолёт);(тянет рисует качается);();())
14,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(мак бочка корова);(висит прыгает убегает);();())
15,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(кит ветка бабочка);(идёт думает побеждает);();())
16,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(жук липа чемодан);(дует выходит пропадает);();())
17,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(дым рыба паровоз);(звенит бегает открывает);();())
18,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(сок ветер машина);(пишет говорит гуляет);();())
19,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(час книга телефон);(ищет продаёт причёсывает);();())
20,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(лист сумка бумага);(летит радует провожает);();())
21,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(руль солнце тарелка);(сидит находит выливает);();())
22,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(игрушка воробей ёлка);(плачет делает извиняется);();())
23,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(цыплёнок гирлянда банка);(жуёт печатает ухаживает);();())
24,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(бутылка микрофон речка);(зовёт покупает закрывает);();())
25,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(радуга собака бегемот);(растёт слушает вытаскивает);();())
26,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(резинка берёза пелёнка);(прячет требует ломает);();())
27,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(иголка бабушка девочка);(печёт развлекает кусает);();())
28,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(зонтик вечер ручка);(бреет украшает протыкает);();())
29,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(юбка дочка ветка);(мелет назначает доит);();())
30,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(кит руль снег);(приказывает успокаивает едет);();())
31,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(мяч луч рис);(учит просит исправляет);();())
32,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(девочка баба дедушка);(сидит лежит идёт);();())
33,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(мальчик дядя тётя);(сидит лежит идет);();())
34,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(девочка дедушка бабушка);(бросает читает рисует);();())
35,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(Давид спартанец воин);(побеждает ликует торжествет);();())
36,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(учитель ученик повар);(повелевает учится варит);();())
37,sentence_with_2_words,Пойми предложение из 2 слов,1,(();();(колобок лиса медведь);(хитрит катится ворчит);();())
1,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(прекрасная страшная);(принцесса колдунья);(мечтает колдует);();())
2,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(добрая грязная);(красавица ведьма);(танцует рычит);();())
3,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(злой хороший);(Иванушка Кощей);(спасает злорадствует);();())
4,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(костлявый могучий);(богатырь змей);(защищает спит);();())
5,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(разумный глупый);(царь холоп);(думает смеётся);();())
6,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(ленивый мокрый);(принц крокодил);(кушает охотится);();())
7,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(сумасбродный тихий);(правитель крокодил);(кричит шепчет);();())
8,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(сухой зелёный);(крестьянин богач);(загарает богатеет);();())
9,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(сморщенный довольный);(гриб сухарь);(валяется воет);();())
10,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(важный скромный);(батюшка парень);(рассказывает дремлет);();())
11,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(жадный добродушный);(скряга вор);(хозочет милует);();())
12,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(мудрая великая);(волшебница фея);(прощает поёт);();())
13,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(великодушный трусливый);(рыцарь кузнец);(спрашивает отвечает);();())
13,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(смелая храбрая);(муха лягушка);(сражается борется);();())
14,sentence_with_3_words,Пойми предложение из 3 слов,2,((три семь);();(поросёнка волчёнка);(строят дуют);();())
15,sentence_with_3_words,Пойми предложение из 3 слов,2,((двенадцать семнадцать);();(лебедей червяков);(летят ползут);();())
16,sentence_with_3_words,Пойми предложение из 3 слов,2,((один два);();(дядюшки зайца);(бегут стоят);();())
17,sentence_with_3_words,Пойми предложение из 3 слов,2,((три четыре);();(зайчонка лисы);(пищат шумят);();())
18,sentence_with_3_words,Пойми предложение из 3 слов,2,((пять шесть);();(котят щенков);(скулят маукают);();())
19,sentence_with_3_words,Пойми предложение из 3 слов,2,((семь восемь);();(утят мышат);(кричат топочат);();())
20,sentence_with_3_words,Пойми предложение из 3 слов,2,((девять десять);();(воронят тигрят);(мычат скулят);();())
21,sentence_with_3_words,Пойми предложение из 3 слов,2,((два три);();(дяди зайца);(идут стоят);();())
22,sentence_with_3_words,Пойми предложение из 3 слов,2,((пять шесть);();(кошек птичек);(чирикают мурлычат);();())
23,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(серые черные);(лошадки собаки);(бегут лежат);();())
24,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(красные рыжие);(борсуки зубры);(шуршат дерутся);();())
25,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(ароматные аппетитные);(цветы ягоды);(воняют тухнут);();())
26,sentence_with_3_words,Пойми предложение из 3 слов,2,(();(противный вонючий);(борщ горшок);(пропал пролился);();())
27,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(Тома Вика);(стирала вязала);();(платье кофту))
28,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(мама тётя);(берёт везёт);();(картину картошку))
29,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(Маша Лиза);(кушает кусает);();(кашу булку))
30,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(ёжик лёлик);(собирает подбирает);();(яблоки ягоды))
31,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(первоклассник второклассник);(пишет видит);();(примеры задачи))
32,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(старшеклассник сторож);(обдумывает считает);();(проказу изложение))
33,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(уборщица пятиклассник);(рассчитывает записывает);();(злодейство изложение))
34,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(учительница воспитатель);(учит воспитывает);();(директора ученика))
35,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(себе тебе);(нужно надо);();(взять дать))
36,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(Гоша Гога);(наполняет заполняет);();(ящик тазик))
37,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(парео сомбреро);(подходит пристало);();(всем им))
38,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(ветка пакет);(принадлежит принадлежал);();(дереву мальчику))
39,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(лошадка качалка);(катается качается);();(лихо тихо))
40,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(Тося Зося);(перебирает переминает);();(манку шапку))
41,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(он Ян);(указал показал);();(дыру тропу))
42,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(гости люди);(принесли отнесли);();(подарки коробки))
43,sentence_with_3_words,Пойми предложение из 3 слов,2,(();();(вечер диктор);(наступает начинает);();(мирно грустно))
